M147: W05:0.2468944300839962_[0] U10:0.15654585504792118_[1] U11:0.07908061826627152_[2] W04:0.0724734251452204_[3] 
M148: W04:0.30445937500000003_[0] W05:0.12263020833333332_[2]_[3] U12:0.1606739583333333_[1] U13:0.12263020833333332_[2]_[3] 
M149: U15:0.07314733284284565_[3] W04:0.30035976753319094_[0] W05:0.11952145226614293_[2] U14:0.13632527658428562_[1] 
M150: U00:0.16084687500000003_[2] U01:0.0578102863046045_[3] W04:0.1980902332361516_[1] W05:0.23213921282798833_[0] 
M151: W05:0.23540330417881433_[0] U02:0.08634250098931538_[2] U03:0.17072238419177196_[1] W04:0.07742620262390672_[3] 

M152: W06:0.06409936196700904_[3] W07:0.12819291819291817_[2] U04:0.14183518005540166_[1] U05:0.35047813569872394_[0] 
M153: U07:0.3891466417407978_[0] W06:0.04845322977675919_[3] W07:0.10528252747555089_[1] U06:0.0824053770123106_[2] 
M154: U08:0.04430975564104419_[3] U09:0.16050594123345796_[1] W06:0.057726184204317924_[2] W07:0.33783347427934857_[0] 
M155: W07:0.3382002329824737_[0] U10:0.08533636502386503_[2] U11:0.15038336728192628_[1] W06:0.08372500655743102_[3] 
M156: W06:0.13456103739191724_[2] W07:0.08412286931818182_[3] U12:0.3628159180057589_[0] U13:0.1404939614669063_[1] 
M157: U15:0.4069197675944173_[0] W06:0.08631181176380329_[3] W07:0.14021617151174443_[1] U14:0.09265_[2] 
M158: U00:0.07654709079686832_[2] U01:0.03649623829080191_[3] W06:0.08474811709176097_[1] W07:0.3840631908114169_[0] 
M159: W07:0.4033650594845759_[0] U02:0.08083444444444444_[2] U03:0.04731105322945305_[3] W06:0.1112291222547633_[1] 

M160: W08:0.10880000000000001_[3] W09:0.1504955357142857_[1] U04:0.19375535714285713_[0] U05:0.14792410714285714_[2] 
M161: U07:0.14464918207040678_[1] W08:0.23989927582705362_[0] W09:0.1306194807073713_[2] U06:0.10657843783820348_[3] 
M162: U08:0.3014659352399737_[0] U09:0.19269907407407405_[1] W08:0.10551215277777778_[3] W09:0.13346739398422094_[2] 
M163: W09:0.047431582482175924_[2] U10:0.1359802943496179_[1] U11:0.35421787752578193_[0] W08:0.03122007336237512_[3] 
M164: W08:0.19223452752589068_[1] W09:0.09526051939513479_[2] U12:0.22450343144541896_[0] U13:0.07770021236007629_[3] 
M165: U15:0.13913698200558944_[2] W08:0.3610429263297888_[0] W09:0.1791896081349206_[1] U14:0.09813368055555555_[3] 
M166: U00:0.21628932604712034_[1] U01:0.05109019487807366_[3] W08:0.0699298469387755_[2] W09:0.2839338038327174_[0] 
M167: W09:0.21200615981240978_[0] U02:0.21082416606541604_[1] U03:0.2035545606485523_[2] W08:0.12749613335624677_[3] 

M168: W10:0.40028501624071505_[0] W11:0.09958104845134581_[3] U04:0.13736071428571428_[1] U05:0.12929085714285712_[2] 
M169: U07:0.19214409581896658_[1] W10:0.3067342213746422_[0] W11:0.07763510119370234_[3] U06:0.08359299361749363_[2] 
M170: U08:0.016478980095456158_[3] U09:0.48396713065163327_[0] W10:0.106585219478738_[1] W11:0.07505169388692114_[2] 
M171: W11:0.15645163947932114_[1] U10:0.2144267772468464_[0] U11:0.1352295918367347_[2] W10:0.12043609523809523_[3] 
M172: W10:0.2902471383975025_[0] W11:0.08175347222222222_[2]_[3] U12:0.19186004162330905_[1] U13:0.08175347222222222_[2]_[3] 
M173: U15:0.19104736424891003_[1] W10:0.17946154293302438_[2] W11:0.3200222193218775_[0] U14:0.10431818181818181_[3] 
M174: U00:0.170076421352276_[1] U01:0.10232012987012987_[3] W10:0.14695189744668913_[2] W11:0.22471191010942515_[0] 
M175: W11:0.2135685714285714_[0] U02:0.15061238095238094_[1] U03:0.07348853797717435_[2]_[3] W10:0.07348853797717435_[2]_[3] 

M176: W12:0.3513659332886763_[0] W13:0.07353564049586776_[3] U04:0.08667729591836734_[2] U05:0.14500173646441009_[1] 
M177: U07:0.39976966526085117_[0] W12:0.08478305684219485_[2] W13:0.04775975718740415_[3] U06:0.10186597262041047_[1] 
M178: U08:0.05334596421696336_[3] U09:0.16387636059912516_[1] W12:0.33442415709183987_[0] W13:0.0726589423648247_[2] 
M179: W13:0.07979612246814599_[1] U10:0.04976447244006279_[3] U11:0.07177278463832978_[2] W12:0.407946681496491_[0] 
M180: W12:0.3530452651530687_[0] W13:0.12456386691889884_[1] U12:0.0575748881339364_[3] U13:0.10536458333333333_[2] 
M181: U15:0.154881344283462_[1] W12:0.34474957257801636_[0] W13:0.07402120485106803_[3] U14:0.09265_[2] 
M182: U00:0.1279361979166667_[2] U01:0.05791736054850421_[3] W12:0.3188488416199814_[0] W13:0.1458690682155215_[1] 
M183: W13:0.3004850730422966_[0] U02:0.10262478059000056_[2] U03:0.06970063025210085_[3] W12:0.15468510420041032_[1] 

M184: W14:0.06068153122130394_[3] W15:0.2198423630241812_[0] U04:0.07215590245893276_[2] U05:0.21575861371256796_[1] 
M185: U07:0.18966799243073953_[0] W14:0.09089994448352436_[3] W15:0.14230518677832726_[1] U06:0.13871473682424096_[2] 
M186: U08:0.277911218754831_[0] U09:0.15993455834705972_[1] W14:0.12394828312936833_[2] W15:0.05903380332760141_[3] 
M187: W15:0.12961728749720705_[2] U10:0.046927083333333335_[3] U11:0.22297565393563226_[1] W14:0.25783186960506693_[0] 
M188: W14:0.06640624999999999_[3] W15:0.19235003935458475_[1] U12:0.30798613674984177_[0] U13:0.15005119044511328_[2] 
M189: U15:0.13139309764309764_[3] W14:0.15025545947843244_[2] W15:0.17812610646377552_[1] U14:0.18378358219574437_[0] 
M190: U00:0.13799911296363782_[1] U01:0.08166304039352947_[3] W14:0.26757077195055506_[0] W15:0.13115449382958846_[2] 
M191: W15:0.11564876818783067_[2] U02:0.3046381312449365_[0] U03:0.08784572400388728_[3] W14:0.1231857334143487_[1] 

