M90: V06:0.09720666610327594_[1] V07:0.3438991960559722_[0] U06:0.03621493752546794_[3] U07:0.06981744670523841_[2] 
M91: U07:0.08856474514155435_[2] V08:0.35646023546488803_[0] V09:0.1388717135800231_[1] U06:0.04092835687263622_[3] 
M92: U06:0.032209882074902677_[3] U07:0.051780215247260925_[2] V10:0.12688254325698609_[1] V11:0.3517745605504124_[0] 
M93: V13:0.06465573723870761_[2] U06:0.037313921747378145_[3] U07:0.12822151056139033_[1] V12:0.3414604943889624_[0] 
M94: V14:0.3872148120203299_[0] V15:0.06212383782595286_[2] U06:0.048806681187293435_[3] U07:0.07677806057197646_[1] 
M95: U07:0.07753219877715485_[2] V00:0.34750669505233495_[0] V01:0.08490792244291442_[1] U06:0.03155125452922565_[3] 

M96: U08:0.05885711451682838_[2] U09:0.08344842766145105_[1] V02:0.05559819989920532_[3] V03:0.35585006648417844_[0] 
M97: V05:0.36545850225078563_[0] U08:0.027615251780421263_[3] U09:0.0692012478294685_[2] V04:0.0835487751436368_[1] 
M98: V06:0.05370537737871929_[2] V07:0.3526020757814095_[0] U08:0.09084119627821725_[1] U09:0.031689717747994464_[3] 
M99: U09:0.14374590498324694_[1] V08:0.3061852323243673_[0] V09:0.06936999206733498_[2] U08:0.06079241776086839_[3] 
M100: U08:0.03247945764337156_[3] U09:0.04393247459050413_[2] V10:0.09016200023341527_[1] V11:0.3652067135986267_[0] 
M101: V13:0.3702969040831955_[0] U08:0.04783386761305648_[3] U09:0.06439017065029608_[2] V12:0.11504510751739006_[1] 
M102: V14:0.341313489915251_[0] V15:0.07990496665369871_[2] U08:0.0474138776369829_[3] U09:0.0946713580136663_[1] 
M103: U09:0.05906785499498266_[2] V00:0.060934246167273186_[1] V01:0.3857224557341666_[0] U08:0.024621560876415243_[3] 

M104: U10:0.05351142077847261_[2] U11:0.030655377750548964_[3] V02:0.09450549885476885_[1] V03:0.35888818024197866_[0] 
M105: V05:0.11406046869620966_[1] U10:0.05196239166748688_[2] U11:0.024961257047585457_[3] V04:0.35220723542924265_[0] 
M106: V06:0.35300969400526094_[0] V07:0.059981843728768816_[1] U10:0.04137581103247028_[3] U11:0.059372726650377815_[2] 
M107: U11:0.06371155912783917_[2] V08:0.3690062146490354_[0] V09:0.06831372234840978_[1] U10:0.044232318100417715_[3] 
M108: U10:0.10249371478228879_[1] U11:0.06560700212485927_[2] V10:0.05555254033995545_[3] V11:0.35873304856513094_[0] 
M109: V13:0.21908265720326367_[1] U10:0.02360773000834769_[3] U11:0.057392857829450424_[2] V12:0.2742313374104269_[0] 
M110: V14:0.049947669866089645_[2] V15:0.372912649022902_[0] U10:0.054270108912837255_[1] U11:0.04092826360022386_[3] 
M111: U11:0.02825445035429696_[2] V00:0.3683683723796266_[0] V01:0.12700874143341725_[1] U10:0.0215748665139516_[3] 

M112: U12:0.09283112206177074_[2] U13:0.05092365504865504_[3] V02:0.40274302235420606_[0] V03:0.0930634630287408_[1] 
M113: V05:0.406302898032878_[0] U12:0.07663193577270942_[2] U13:0.047986263057594604_[3] V04:0.08398593190300138_[1] 
M114: V06:0.3723210513061835_[0] V07:0.040074226070168424_[2] U12:0.10609209166939845_[1] U13:0.03733569707965157_[3] 
