M94: W14:0.07533974475779319_[2] W15:0.06485201322109536_[3] V06:0.30800349431732954_[0] V07:0.12953499747317293_[1] 
M95: V07:0.09398437499999998_[2]_[3] W00:0.20308224271267103_[0]_[1] W01:0.20308224271267103_[0]_[1] V06:0.09398437499999998_[2]_[3] 

M96: V08:0.04972559676104442_[3] V09:0.36448807630107966_[0] W02:0.07706304640366138_[1] W03:0.0627470408463877_[2] 
M97: W05:0.1747664548155856_[1] V08:0.2189058207778481_[0] V09:0.14446323210500908_[2] W04:0.12134837741413704_[3] 
M98: W06:0.0548120346687296_[3] W07:0.05586257008661231_[2] V08:0.08429752066115702_[1] V09:0.3987416321201973_[0] 
M99: V09:0.06772494596481418_[2] W08:0.054398973119903354_[3] W09:0.0771566600871661_[1] V08:0.3855023646357914_[0] 
M100: V08:0.12793198725570903_[3] V09:0.14302261501875058_[2] W10:0.15115928421762906_[1] W11:0.15993987055188577_[0] 
M101: W13:0.054865384085312635_[3] V08:0.10846058184068384_[2] V09:0.323114706959405_[0] W12:0.11712817214115637_[1] 
M102: W14:0.046396658896658886_[3] W15:0.06333077670435626_[2] V08:0.4027957442180793_[0] V09:0.09189638102487507_[1] 
M103: V09:0.08017274546014158_[3] W00:0.32748842918714716_[0] W01:0.12048970230861261_[1] V08:0.10312777004741291_[2] 

M104: V10:0.10298466179293031_[1] V11:0.0663370028409091_[2] W02:0.04965323395632588_[3] W03:0.3527500208914188_[0] 
M105: W05:0.04587920703116782_[3] V10:0.14923864030653944_[1] V11:0.3498995655055866_[0] W04:0.06015380929834052_[2] 
M106: W06:0.08603163890066265_[1] W07:0.06271117085308033_[2] V10:0.0469324126742734_[3] V11:0.37855900081099325_[0] 
M107: V11:0.08225757575757577_[3] W08:0.08948599754155309_[2] W09:0.14512010977731643_[1] V10:0.34883634618169057_[0] 
M108: V10:0.1195326166180758_[2] V11:0.10025826446280992_[3] W10:0.21686047125950972_[0] W11:0.1938501162299239_[1] 
M109: W13:0.15708048891906828_[1] V10:0.08483727810650889_[2]_[3] V11:0.08483727810650889_[2]_[3] W12:0.34499282838862394_[0] 
M110: W14:0.015029273773576352_[3] W15:0.019403736747623662_[2] V10:0.13410755794997586_[1] V11:0.3615675803793299_[0] 
M111: V11:0.3537776042239475_[0] W00:0.06264385198568342_[3] W01:0.06959105670604111_[2] V10:0.14622273532602886_[1] 

M112: V12:0.06914842873176207_[2] V13:0.3599301819545776_[0] W02:0.02782115873348511_[3] W03:0.12867580445525906_[1] 
M113: W05:0.041380453072888464_[3] V12:0.40762885011548555_[0] V13:0.1424380543935232_[1] W04:0.045415395491260335_[2] 
M114: W06:0.040227794544264596_[3] W07:0.06001633696287472_[1] V12:0.047260046367094424_[2] V13:0.38667898087880076_[0] 
M115: V13:0.08130709210511723_[1] W08:0.03939554493125923_[2] W09:0.030890588186344357_[3] V12:0.41332172381310933_[0] 
M116: V12:0.4276153236322857_[0] V13:0.11500911312891099_[1] W10:0.06454816838103104_[2] W11:0.05855293752971007_[3] 
M117: W13:0.06007351705001513_[3] V12:0.08931018891949011_[1] V13:0.06850837330404637_[2] W12:0.370048145135344_[0] 
M118: W14:0.1144230769230769_[2]_[3] W15:0.1144230769230769_[2]_[3] V12:0.36547257783429815_[0] V13:0.13602790681012583_[1] 
M119: V13:0.08854438728399945_[2] W00:0.08940396015549076_[1] W01:0.08324491836511068_[3] V12:0.345536487195141_[0] 

M120: V14:0.12221553388802357_[1] V15:0.06336580086580086_[2] W02:0.028486834029460974_[3] W03:0.3746336127194722_[0] 
M121: W05:0.09419223484848484_[3] V14:0.15870437071608945_[1] V15:0.3533858391284321_[0] W04:0.1257251878023937_[2] 
M122: W06:0.04628807477850818_[3] W07:0.06833577695056972_[1] V14:0.05658012648130562_[2] V15:0.3891578747831646_[0] 
M123: V15:0.12535394004144004_[1] W08:0.09641347916108434_[3] W09:0.40213875779786573_[0] V14:0.12292529010245955_[2] 
M124: V14:0.1941373966942149_[1] V15:0.08091715976331361_[3] W10:0.23150694444444445_[0] W11:0.1285625_[2] 
M125: W13:0.09270273436690898_[2] V14:0.3410705920052279_[0] V15:0.139921488235211_[1] W12:0.03940029357025134_[3] 
M126: W14:0.0621694214876033_[2] W15:0.05776182649623702_[3] V14:0.14290125395380915_[1] V15:0.35647750674304973_[0] 
M127: V15:0.12603879865133327_[1] W00:0.0680965909090909_[2] W01:0.051112554371246746_[3] V14:0.398803464599005_[0] 

M128: V00:0.3752550640653194_[0] V01:0.11465489381348105_[1] W04:0.08096295796201278_[3] W05:0.10494247424821031_[2] 
M129: W07:0.05063424397597968_[2] V00:0.09912523940683972_[1] V01:0.3906838185093875_[0] W06:0.03462337155293638_[3] 
M130: W08:0.1268373363615551_[1] W09:0.08180379007463882_[3] V00:0.10888434791617803_[2] V01:0.354137524200414_[0] 
M131: V01:0.3948483656358534_[0] W10:0.049334276930364185_[3] W11:0.07334373481535471_[2] V00:0.07644304975038117_[1] 
M132: V00:0.0755406746031746_[2] V01:0.39051766061436594_[0] W12:0.11101756619222095_[1] W13:0.05658100277147896_[3] 
M133: W15:0.019535210343124387_[3] V00:0.11146811908070386_[1] V01:0.3829363878912932_[0] W14:0.054773830806209525_[2] 
M134: W00:0.06806462127097208_[2] W01:0.03783887678902054_[3] V00:0.12832213724263067_[1] V01:0.3673577816761944_[0] 
M135: V01:0.3944964815637176_[0] W02:0.05243475103328279_[3] W03:0.06194026153651526_[2] V00:0.09619886113886114_[1] 

M136: V02:0.09777622965175402_[1] V03:0.39641166026063257_[0] W04:0.05553916858176116_[3] W05:0.07786531886427829_[2] 
M137: W07:0.04550336736178025_[2] V02:0.06082083002295721_[1] V03:0.3887815104079881_[0] W06:0.042453990475556175_[3] 
M138: W08:0.06823738084577674_[2] W09:0.07837706493506494_[1] V02:0.06593875327806072_[3] V03:0.37269326851855245_[0] 
M139: V03:0.06976893865116778_[1] W10:0.051981047748738865_[2] W11:0.03896235932437953_[3] V02:0.40236692486718084_[0] 
M140: V02:0.04887739690274767_[3] V03:0.07596938775510205_[2] W12:0.14123045267489712_[1] W13:0.4142204394540172_[0] 
M141: W15:0.05116645195732281_[2] V02:0.37397559088873666_[0] V03:0.11662090190305825_[1] W14:0.0482827844416386_[3] 
M142: W00:0.28568303067610545_[0] W01:0.20253642146301418_[1] V02:0.11423130193905816_[2] V03:0.09616666666666666_[3] 
M143: V03:0.1261370554984985_[1] W02:0.017196478514228866_[3] W03:0.07213986796416146_[2] V02:0.344924515044871_[0] 

M144: V04:0.3743456461940837_[0] V05:0.12494981060606061_[1] W04:0.06896358337842712_[3] W05:0.07630779137953882_[2] 
M145: W07:0.11827023276597143_[2] V04:0.10302777777777777_[3] V05:0.12074598241056464_[1] W06:0.3508532035501005_[0] 
M146: W08:0.14461767714608623_[1] W09:0.14315991773378137_[2] V04:0.22258113443189623_[0] V05:0.1267286691086691_[3] 
M147: V05:0.1683685185185185_[2] W10:0.17050473372781064_[1] W11:0.1398236028928337_[3] V04:0.2252664830119376_[0] 
M148: V04:0.07642274679626751_[2] V05:0.3195264317751845_[0] W12:0.16244109547539298_[1] W13:0.039503074878019184_[3] 
M149: W15:0.03457851784545864_[3] V04:0.09903625179065376_[1] V05:0.3997481771531194_[0] W14:0.06463194873909159_[2] 
